day_and_date,start_time,end_time,title,program_track,location,speakers_or_contributors,affiliations,keywords_tags,interest_area,registration_category,session_url,description
"Monday, 20 July 2026",10:45am,10:55am,DualBrep: A Dual-Field Continuous Representation for B-rep Modelling,Technical Paper,Room 403 B,Yilin Liu; Pradeep Jayaraman; Chinthala Reddy; Xiang Xu; Hooman Shayani,Autodesk Research,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_295&sess=sess142,"DualBrep presents a novel continuous representation for CAD models, resolving modeling challenges caused by heterogeneous data structures. It uses dual scalar fields: a Signed Distance Function for geometry and an Unsigned Distance Field for topology. Compressing these into a single latent space enables robust reverse engineering and generative modeling."
"Monday, 20 July 2026",10:45am,11:05am,Face Rigging through Curvenet Parametrization,Talks,Room 515 A,Jeremie Talbot; WilliamS Sheffler; Fernando de Goes,Pixar Animation Studios,Animation; Geometry; Modeling,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_236&sess=sess181,"We describe a new rigging technique that generates face parametrizations by leveraging curvenets as a sparse proxy for authoring weights outlining face contours, which are then interpolated across the surface mesh to drive face articulation. We showcase our method using face rigs built for various characters from Disney/Pixar’s Hoppers."
"Monday, 20 July 2026",10:45am,10:55am,Fast and Exact Winding Numbers for Triangle Meshes,Technical Paper,Room 403 A,Peiyuan Xie; Christian Hafner; Chris Wojtan,Institute of Science and Technology Austria (ISTA),Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_747&sess=sess149,"Generalized winding numbers are a useful measure for inside-outside classification. This paper introduces a novel method for computing winding numbers for triangle meshes, which leverages a ray-mesh intersection and an elementary sum over boundaries. Our algorithm gives the exact answer and is more efficient than all existing techniques in practice."
"Monday, 20 July 2026",10:45am,12:35pm,Generative 3D & Editing,Technical Paper,Room 408 B,,,Artificial Intelligence/Machine Learning; Geometry; Modeling,Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null,
"Monday, 20 July 2026",10:45am,12:35pm,Holography & Displays,Technical Paper,Room 408 A,,,Augmented Reality; Display; Fabrication; Hardware; Real-Time; Rendering; Simulation; Virtual Reality,Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null,
"Monday, 20 July 2026",10:45am,10:55am,Invisible Holographic Window: Full-color 3D Image Reconstruction from Transparent Surface-relief Computer-generated Holograms,Technical Paper,Room 408 A,Ryo Higashida; Masato Miura; Teruyoshi Nobukawa; Yuta Yamaguchi; Ken-ichi Aoshima; Nobuhiko Funabashi; Masahiro Yamaguchi,Institute of Science Tokyo; Japan Broadcasting Corporation (NHK),Augmented Reality; Fabrication; Hardware,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1417&sess=sess132,"We demonstrate an invisible holographic window: a transparent surface‑relief computer-generated hologram formed on glass. Using a scattering‑suppressed encoding scheme and spatial‑frequency band‑division multiplexing, we achieve high‑transmittance, crosstalk‑free full‑color 3D image reconstruction, allowing clear viewing of a photorealistic holographic image overlaid in front of real‑world scenes through the glass."
"Monday, 20 July 2026",10:45am,10:55am,Iris3D: 3D Generation via Synchronized Diffusion Distillation,Technical Paper,Room 408 B,Yixun Liang; Weiyu Li; Rui Chen; Fei-Peng Tian; Jiarui Liu; Ying-Cong Chen; Ping Tan; Xiao-Xiao Long,Hong Kong University of Science and Technology; Light Illusions; Nanjing University; The Hong Kong University of Science and Technology,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_105&sess=sess151,"Iris3D is a novel 3D generation system that combines feedforward reconstruction models with a new Synchronized Diffusion Distillation (SDD) method to produce detailed geometry and vivid textures. By addressing view inconsistency and over-smoothing issues in traditional Score Distillation Sampling (SDS) methods, it enables controllable and high-quality 3D content creation."
"Monday, 20 July 2026",10:45am,12:15pm,Learning for CAD,Technical Paper,Room 403 B,,,Artificial Intelligence/Machine Learning; Geometry; Modeling,Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null,
"Monday, 20 July 2026",10:45am,12:35pm,Pull the Strings,Talks,Room 515 A,,,Animation; Dynamics; Games; Generative AI; Geometry; Modeling; Performance; Pipeline Tools and Work; Real-Time; Simulation,Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null,
"Monday, 20 July 2026",10:45am,12:15pm,The Perpetual Pipeline – 50 Years of Symbiosis in Computer Graphics,Panel,Petree D,Barbara Ford Grant; Kim Davidson; Rob Bredow; Paul Debevec; Natalya Tatarchuk; Doug Roble,Activision; BFG Productions; Lucasfilm; Meta; Netflix; SideFX,Capture/Scanning; Computer Vision; Image Processing; Industry Insight; Lighting; Pipeline Tools and Work,New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_452&sess=sess253,"""The Perpetual Pipeline"" celebrates 50 years of magic born when researchers and filmmakers collided - from character animation to digital oceans to virtual worlds. Now, with AI accelerating the research-to-screen pipeline, two exceptional panels bridged by a VES fireside chat rally to seize what comes next."
"Monday, 20 July 2026",10:45am,12:35pm,Winding Numbers & Surface Representations,Technical Paper,Room 403 A,,,Fabrication; Geometry; Modeling; Rendering,Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null,
"Monday, 20 July 2026",10:55am,11:05am,Autoregressive B-Rep Shape Generation with Parametric Surfaces,Technical Paper,Room 403 B,Dafei Qin; Rui Xu; Zeyu Shen; Kaichun Qiao; Hongyang Lin; Qixuan Zhang; Huaijin Pi; Lan Xu; Jingyi Yu; Wenping Wang; Taku Komura,"Institute of Software, Chinese Academy of Sciences; ShanghaiTech University; Texas A&M University; The University of Hong Kong (HKU); University of Hong Kong",Artificial Intelligence/Machine Learning; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_165&sess=sess142,"ParaCAD is a point-cloud-conditioned autoregressive framework for B-Rep generation that directly predicts native parametric surface types and continuous parameters via a surface-centric tokenization, preserving CAD semantics and downstream editability beyond grid/point-based representations."
"Monday, 20 July 2026",10:55am,11:05am,CubePart: An Open-Vocabulary Part-Controllable 3D Generator,Technical Paper,Room 408 B,Yiheng Zhu; Kangle Deng; Jean-Philippe Fauconnier; Inaki Navarro Oiza; Daiqing Li; Ava Pun; Yinan Zhang; Peiye Zhuang; Xiaoxia Sun; Maneesh Agrawala; Kiran Bhat; Tinghui Zhou,Roblox; Stanford University,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_656&sess=sess151,"CubePart is an open-vocabulary 3D generative framework offering explicit semantic part-based control over mesh structure. Guided by a text prompt and custom part schema, it synthesizes coherent multi-part meshes, which are ready for direct integration into game engines and animation pipelines without manual post-processing."
"Monday, 20 July 2026",10:55am,11:05am,PAColorHolo: A Perceptually-Aware Color Management Framework for Holographic Displays,Technical Paper,Room 408 A,Chun Chen; Minseok Chae; Seung-Woo Nam; Myeong-Ho Choi; Minseong Kim; Eunbi Lee; Yoonchan Jeong; Jae-Hyeung Park,Seoul National University,Hardware; Rendering; Virtual Reality,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_102&sess=sess132,"We present PAColorHolo, a perceptually-aware color management framework that enables accurate color reproduction in holographic displays. Our approach jointly addresses system-level color distortions through color space transformation, adaptive illumination control, and a color-restoration neural network. Simulations, optical experiments, and a user study demonstrate improved perceptual color fidelity."
"Monday, 20 July 2026",10:55am,11:05am,Spatially Accelerated Winding Numbers for Curved Geometry,Technical Paper,Room 403 A,Jacob Spainhour; Brad Whitlock; Kenneth Weiss,Lawrence Livermore National Laboratory,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1487&sess=sess149,"Existing winding number methods for curved geometry, such as SVG and CAD datasets, scale linearly with the number of NURBS primitives. We propose a sublinear approach that leverages a BVH to agglomerate winding number contributions from distant boundary components while maintaining accurate point containment decisions on in-the-wild datasets."
"Monday, 20 July 2026",11:00am,12:00pm,ASWF Machine Learning Working Group,Birds of a Feather,JW Marriott - Gold Ballroom 3,Tommy Burnette,ILM,Visual Effects,Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_204&sess=sess569,"Updates from the ASWF Machine Learning Working Group. Ongoing progress on the DNA development and feedback from early adopters. New initiative for mutual learning sessions on the topics of interest in the AI/ML domain in VFX/Animation industry.

This BoF is part of a full day of open source BoFs hosted by the Academy Software Foundation as part of Open Source Days. Learn more at opensourcedays.aswf.io."
"Monday, 20 July 2026",11:00am,12:00pm,MoonRay,Birds of a Feather,JW Marriott - Gold Ballroom 4,Randy Packer,DreamWorks Animation,Visual Effects,Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_203&sess=sess568,"ASWF migration update, presentations and demos, roadmap and open discussion.

This BoF is part of a full day of open source BoFs hosted by the Academy Software Foundation as part of Open Source Days. Learn more at opensourcedays.aswf.io."
"Monday, 20 July 2026",11:00am,12:00pm,NVIDIA: How AI is Changing Education,Educator's Day Session,Room 411,Jacob Liberman,NVIDIA,Artificial Intelligence/Machine Learning; Education; Industry Insight,Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=eduday_101&sess=sess528,"Artificial intelligence is fundamentally reshaping how students learn, how educators teach, and how institutions deliver knowledge at scale. This panel brings together innovators at the forefront of AI-driven education — from Studyfetch, a leading AI-powered study platform transforming how students engage with course material, to NVIDIA's Deep Learning Institute and Community Educator programs, which are equipping the next generation of AI practitioners worldwide.
Panelists will explore the ways AI is fundamentally changing how we teach and learn. Generative AI and large language models are personalizing the learning experience, accelerating skill development, and democratizing access to high-quality education. Discussion will cover real-world deployment of AI tools in academic and professional training environments, the challenges of integrating these technologies responsibly, and what the future classroom looks like as AI capabilities continue to advance.
Attendees will leave with a practical understanding of how AI is being applied in education today, key considerations for educators and institutions adopting these tools, and a clear perspective on where human instruction and AI assistance intersect most powerfully"
"Monday, 20 July 2026",11:00am,12:00pm,SIGGRAPH Asia 2026,Birds of a Feather,Room 510,Carrie de Souza; Jarah Lachica,SIGGRAPH Asia,Education; Ethics and Society,Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_147&sess=sess345,"SIGGRAPH Asia 2026, the 19th ACM SIGGRAPH conference and exhibition on computer graphics and interactive techniques in Asia, will take place from 1 to 4 December 2026 at the Kuala Lumpur Convention Centre KLCC, Malaysia, its first edition in the country. As the sister conference to SIGGRAPH, it travels across Asia, blending innovation with local culture. This session is designed for those new to SIGGRAPH Asia, offering a clear introduction to what the conference is about, how to participate, and what to expect. It also provides an open platform to ask questions, exchange ideas, and connect with the community."
"Monday, 20 July 2026",11:00am,1:00pm,Textiles,Birds of a Feather,Room 512,Jenny Lin; Michael Haller; Gilbert Bernstein; James McCann; Adriana Schulz,Brown University; Carnegie Mellon University; Free University of Bozen-Bolzano; University of Utah; University of Washington,Fabrication; Modeling; Rendering; Robotics; Simulation,Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_177&sess=sess477,"Textiles are everywhere in graphics, from simulation and rendering to fabrication and robotics. Come to this Birds of a Feather to meet others interested in the unique challenges and opportunities textiles present to the graphics community. We'll talk about current state of the art techniques, what problems still need to be solved, and where research is going in the future. Cool demos are encouraged!"
"Monday, 20 July 2026",11:05am,11:25am,A Generative Motion Rig for Artist-Driven Motion Authoring,Talks,Room 515 A,Jakob Buhmann; Dhruv Agrawal; Dominik Borer; Luca Vögeli; Robert Sumner; Martin Guay,DisneyResearch|Studios; ETH Zürich,Animation; Generative AI; Real-Time,New Technologies; Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_296&sess=sess181,"Recent breakthroughs in generative modeling enable scaling 3D motion via sparse handles. We introduce the Generative Motion Rig (GMR), a Blender plugin bridging research and production. Through ""generative keyframing,"" artists rapidly author or edit sequences using noise sampling and pose manipulation, streamlining the transition from traditional animation to AI-driven workflows."
"Monday, 20 July 2026",11:05am,11:15am,B-repLer: Language-guided Editing of CAD Models,Technical Paper,Room 403 B,Yilin Liu; Niladri Shekhar Dutt; Changjian Li; Niloy J. Mitra,Autodesk Research; University College London (UCL); University of Edinburgh,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_959&sess=sess142,"Current language-guided CAD editing struggles with dataset shortages and relies on construction history. We introduce B-repLer, a novel framework enabling text-based CAD edits in a learned latent space without requiring construction history. We also present BrepEDIT-240K, the first large-scale editing dataset, enabling accurate, complex CAD edits from high-level text commands."
"Monday, 20 July 2026",11:05am,11:15am,Pixal3D: Pixel-Aligned 3D Generation from Images,Technical Paper,Room 408 B,Dong-Yang Li; Wang Zhao; Yuxin Chen; Wenbo Hu; Meng-Hao Guo; Fang-Lue Zhang; Ying Shan; Shi-Min Hu,Tencent; Tsinghua University; Victoria University of Wellington,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1056&sess=sess151,"Pixal3D is a pixel-aligned paradigm that solves the fidelity bottleneck in image-to-3D synthesis. By utilizing a back-projection conditioning scheme to explicitly lift 2D features into view-aligned 3D volumes, it eliminates ambiguity, enabling scalable generative reconstruction of highly accurate 3D assets and scenes from single or multi-view images."
"Monday, 20 July 2026",11:05am,11:15am,Robust Containment Queries over Collections of Trimmed NURBS Surfaces via Generalized Winding Numbers,Technical Paper,Room 403 A,Jacob Spainhour; Kenneth Weiss,Lawrence Livermore National Laboratory,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_119&sess=sess149,"We introduce an accurate and precise generalized winding number method for trimmed NURBS patches based on integrating along boundary curves. For points near a patch, we add a correction term determined via line-surface intersections. The method enables robust inside-outside containment queries that respect curved features in complex CAD models."
"Monday, 20 July 2026",11:05am,11:15am,Single-View Holographic Volumetric 3D Printing with Coupled Differentiable Wave-Optical and Photochemical Optimization,Technical Paper,Room 408 A,Felix Wechsler; Riccardo Rizzo; Christophe Moser,École Polytechnique Féderale de Lausanne (EPFL),Fabrication; Hardware; Simulation,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_683&sess=sess132,"We introduce Single-View Holographic Volumetric Additive Manufacturing (SHVAM), a layer-free 3D printing technique that creates microscale structures in seconds using holographic light patterns. Our coupled optical-chemical optimization framework enables ~10 μm lateral features from a mechanically simple, single-view system with broad manufacturing applications."
"Monday, 20 July 2026",11:15am,12:00pm,Flashover: Spatial Storytelling of Wildfire from Memory to Spatial Experience,Spatial Storytelling,Concourse Hall,Phillip Wilkinson; Robert Ellis Walton; SeungWon Jeong; Taehyun Rhee,University of Melbourne; University of Melburne,Capture/Scanning; Image Processing; Rendering; Spatial Computing; Virtual Reality,Arts & Design; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_175&sess=sess331,"We present Flashover, a spatial storytelling project that reframes wildfire as lived experience: memory, repetition, and loss. We describe how multi-zone installation design and point-based volumetric imagery invite active perception rather than spectacle, translating traumatic memory into embodied encounter and reflection on the climate crisis."
"Monday, 20 July 2026",11:15am,11:25am,Flatten the Complex: Joint B-Rep Generation via Compositional k-Cell Particles,Technical Paper,Room 403 B,Junran Lu; Yuanqi Li; Hengji Li; Jie Guo; Yanwen Guo,Nanjing University,Artificial Intelligence/Machine Learning; Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1189&sess=sess142,"Generating CAD B-Reps is challenging due to complex topology-geometry entanglement. We solve this by reformulating B-Reps into compositional k-cell particles. Our flow matching framework unifies topological entities, enabling the joint generation, precise 3D reconstruction, and local in-painting of high-fidelity CAD models with superior validity."
"Monday, 20 July 2026",11:15am,11:25am,HoloPathTracer: Fast and Accurate Wave Path Tracing for Holography,Technical Paper,Room 408 A,Wenbin Zhou; Xiangyu Meng; Jiankai Xing; Xin Liu; Suyeon Choi; Yifan Peng,Stanford University; The University of Hong Kong; The University of Hong Kong (HKU),Rendering,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_877&sess=sess132,"To bring physically accurate 3D cues to holography, HoloPathTracer moves beyond prior computer-generated holography pipelines that separate radiance rendering from wave propagation. By tracing complex wave paths directly through the scene, it enables phase-only holograms with natural defocus, reflections, refractions, and more faithful visual realism."
"Monday, 20 July 2026",11:15am,11:25am,InvSculpt: Inverse Sculpting Modeling via Controlled 3D Generation and a Vector Displacement Field,Technical Paper,Room 408 B,Hengyu Meng; Lanjiong Li; Zhijing Shao; Yingda Yin; Lingting Zhu; Zeyu Hu; Xin Wang; Ligang Liu; Zeyu Wang,LIGHTSPEED; Tencent LightSpeed Studio; The Hong Kong University of Science and Technology (Guangzhou); University of Science and Technology of China,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_715&sess=sess151,"We propose InvSculpt, which decomposes a mesh into a base shape and reusable details represented by a vector displacement field. It uses text-guided 2D priors and a 3D flow model for mask-free detail removal while preserving identity. The method enables accurate decomposition and high-fidelity detail transfer."
"Monday, 20 July 2026",11:15am,12:15pm,NVIDIA Hands-On Lab: AI-Assisted Graphics Profiling with Nsight Systems (Second Offering),Industry Session,Room 502B,Dan Binyamin; Uri Shomroni,NVIDIA,Games; Rendering,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=ind_150&sess=sess558,"This training lab offers graphics developers a look at the agentic future being built into Nsight Systems, with a focus on holistic analysis of CPU and GPU performance. Participants will work through hands-on scenarios where AI agents assist with performance analysis . The session bridges the gap between emerging model capabilities and the practical realities of real-time and offline graphics pipelines. Developers at all levels will gain actionable insight into how agentic AI workflows can be adopted today and what innovations are on the horizon."
"Monday, 20 July 2026",11:15am,11:25am,"The Antipodal Method: Fast, Accurate, and Robust 3D Generalized Winding Numbers",Technical Paper,Room 403 A,Cedric Martens; Philip Trettner; Mikhail Bessmeltsev,Shaped Code GmbH; Université de Montréal,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_570&sess=sess149,"We introduce a new formulation and algorithm for fast, precise computation of generalized winding numbers applicable to both meshes and parametric surfaces. Our approach expresses the winding number as the sum of ray-surface intersections and a boundary integral. It achieves significant speedups over prior precise and approximate methods."
"Monday, 20 July 2026",11:25am,11:35am,ADS: Random Sampling of Occupancy Functions using Adaptive Delaunay Scaffolding,Technical Paper,Room 403 A,Suzuran Takikawa; Leo Foord-Kelcey; Oliver Oxford; Nicholas Vining; Alla Sheffer,NVIDIA; The University of British Columbia; University of British Columbia,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_861&sess=sess149,"We present ADS, a method that delivers both pseudo-random surface samples and isosurface connectivity from occupancy functions, unlike prior approaches that typically provide only one. ADS achieves this with orders of magnitude fewer function evaluations at comparable accuracy than prior approaches, by progressively refining a Delaunay scaffold around the surface."
"Monday, 20 July 2026",11:25am,11:35am,BrepForge: Factorized B-rep Synthesis via Wireframe Composition and Boundary-Conditioned Surface Instantiation,Technical Paper,Room 403 B,Jing Li; Yihang Fu; Falai Chen,University of Science and Technology of China,Geometry; Modeling,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1324&sess=sess142,"BrepForge is a generative framework for CAD B-rep modeling that factorizes synthesis into wireframe construction and boundary-conditioned surface generation. This two-stage design improves topological validity and geometric precision, enabling the creation of complex and realistic CAD models."
